uf;municipio;evento;data_referencia;total;total_peso;abrangencia;formulario;ano;ano_data;mes_data;trimestre_data
RJ;NÃO INFORMADO;Apreensão de Maconha;01/06/2017;;;Estadual;Formulário 5;2017;2017;6;2
RN;NÃO INFORMADO;Apreensão de Cocaína;01/06/2017;;0.902;Estadual;Formulário 5;2017;2017;6;2
RN;NÃO INFORMADO;Apreensão de Maconha;01/06/2017;;7.311;Estadual;Formulário 5;2017;2017;6;2
RO;NÃO INFORMADO;Apreensão de Cocaína;01/06/2017;;;Estadual;Formulário 5;2017;2017;6;2
RO;NÃO INFORMADO;Apreensão de Maconha;01/06/2017;;;Estadual;Formulário 5;2017;2017;6;2
RR;NÃO INFORMADO;Apreensão de Cocaína;01/06/2017;;2.476;Estadual;Formulário 5;2017;2017;6;2
RR;NÃO INFORMADO;Apreensão de Maconha;01/06/2017;;1.332;Estadual;Formulário 5;2017;2017;6;2
RS;NÃO INFORMADO;Apreensão de Cocaína;01/06/2017;;113.013;Estadual;Formulário 5;2017;2017;6;2
RS;NÃO INFORMADO;Apreensão de Maconha;01/06/2017;;2272.425;Estadual;Formulário 5;2017;2017;6;2
SC;NÃO INFORMADO;Apreensão de Cocaína;01/06/2017;;10.8;Estadual;Formulário 5;2017;2017;6;2
SC;NÃO INFORMADO;Apreensão de Maconha;01/06/2017;;22585.23;Estadual;Formulário 5;2017;2017;6;2
SE;NÃO INFORMADO;Apreensão de Cocaína;01/06/2017;;4.075;Estadual;Formulário 5;2017;2017;6;2
SE;NÃO INFORMADO;Apreensão de Maconha;01/06/2017;;35.264;Estadual;Formulário 5;2017;2017;6;2
SP;NÃO INFORMADO;Apreensão de Cocaína;01/06/2017;;2358.737;Estadual;Formulário 5;2017;2017;6;2
SP;NÃO INFORMADO;Apreensão de Maconha;01/06/2017;;12821.401;Estadual;Formulário 5;2017;2017;6;2
TO;NÃO INFORMADO;Apreensão de Cocaína;01/06/2017;;;Estadual;Formulário 5;2017;2017;6;2
TO;NÃO INFORMADO;Apreensão de Maconha;01/06/2017;;;Estadual;Formulário 5;2017;2017;6;2
AC;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;;Estadual;Formulário 5;2017;2017;7;3
AC;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;;Estadual;Formulário 5;2017;2017;7;3
AL;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;43.19;Estadual;Formulário 5;2017;2017;7;3
AL;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;11388.64;Estadual;Formulário 5;2017;2017;7;3
AM;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;1217.12;Estadual;Formulário 5;2017;2017;7;3
AM;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;124.48;Estadual;Formulário 5;2017;2017;7;3
AP;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;0.356;Estadual;Formulário 5;2017;2017;7;3
AP;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;1.98;Estadual;Formulário 5;2017;2017;7;3
BA;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;26.492;Estadual;Formulário 5;2017;2017;7;3
BA;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;375.129;Estadual;Formulário 5;2017;2017;7;3
CE;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;53.56;Estadual;Formulário 5;2017;2017;7;3
CE;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;977.27;Estadual;Formulário 5;2017;2017;7;3
DF;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;14;Estadual;Formulário 5;2017;2017;7;3
DF;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;995;Estadual;Formulário 5;2017;2017;7;3
ES;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;;Estadual;Formulário 5;2017;2017;7;3
ES;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;;Estadual;Formulário 5;2017;2017;7;3
GO;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;1224.055;Estadual;Formulário 5;2017;2017;7;3
GO;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;14722.828;Estadual;Formulário 5;2017;2017;7;3
MA;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;0.284;Estadual;Formulário 5;2017;2017;7;3
MA;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;290.321;Estadual;Formulário 5;2017;2017;7;3
MG;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;;Estadual;Formulário 5;2017;2017;7;3
MG;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;;Estadual;Formulário 5;2017;2017;7;3
MS;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;238.286;Estadual;Formulário 5;2017;2017;7;3
MS;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;61977.91;Estadual;Formulário 5;2017;2017;7;3
MT;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;172.19;Estadual;Formulário 5;2017;2017;7;3
MT;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;305.61;Estadual;Formulário 5;2017;2017;7;3
PA;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;14.492;Estadual;Formulário 5;2017;2017;7;3
PA;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;101.857;Estadual;Formulário 5;2017;2017;7;3
PB;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;25.51;Estadual;Formulário 5;2017;2017;7;3
PB;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;564.81;Estadual;Formulário 5;2017;2017;7;3
PE;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;0;Estadual;Formulário 5;2017;2017;7;3
PE;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;0;Estadual;Formulário 5;2017;2017;7;3
PI;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;51.735;Estadual;Formulário 5;2017;2017;7;3
PI;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;532.31;Estadual;Formulário 5;2017;2017;7;3
PR;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;167.116;Estadual;Formulário 5;2017;2017;7;3
PR;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;15336.269;Estadual;Formulário 5;2017;2017;7;3
RJ;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;;Estadual;Formulário 5;2017;2017;7;3
RJ;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;;Estadual;Formulário 5;2017;2017;7;3
RN;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;;Estadual;Formulário 5;2017;2017;7;3
RN;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;22.1;Estadual;Formulário 5;2017;2017;7;3
RO;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;;Estadual;Formulário 5;2017;2017;7;3
RO;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;;Estadual;Formulário 5;2017;2017;7;3
RR;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;1.764;Estadual;Formulário 5;2017;2017;7;3
RR;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;1.994;Estadual;Formulário 5;2017;2017;7;3
RS;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;71.621;Estadual;Formulário 5;2017;2017;7;3
RS;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;1173.57;Estadual;Formulário 5;2017;2017;7;3
SC;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;6.73;Estadual;Formulário 5;2017;2017;7;3
SC;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;12871.14;Estadual;Formulário 5;2017;2017;7;3
SE;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;8.769;Estadual;Formulário 5;2017;2017;7;3
SE;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;122.863;Estadual;Formulário 5;2017;2017;7;3
SP;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;1086.568;Estadual;Formulário 5;2017;2017;7;3
SP;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;12641.279;Estadual;Formulário 5;2017;2017;7;3
TO;NÃO INFORMADO;Apreensão de Cocaína;01/07/2017;;;Estadual;Formulário 5;2017;2017;7;3
TO;NÃO INFORMADO;Apreensão de Maconha;01/07/2017;;;Estadual;Formulário 5;2017;2017;7;3
AC;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;;Estadual;Formulário 5;2017;2017;8;3
AC;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;;Estadual;Formulário 5;2017;2017;8;3
AL;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;69.71;Estadual;Formulário 5;2017;2017;8;3
AL;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;2559.51;Estadual;Formulário 5;2017;2017;8;3
AM;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;193.01;Estadual;Formulário 5;2017;2017;8;3
AM;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;843.31;Estadual;Formulário 5;2017;2017;8;3
AP;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;0.347;Estadual;Formulário 5;2017;2017;8;3
AP;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;1.432;Estadual;Formulário 5;2017;2017;8;3
BA;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;93.947;Estadual;Formulário 5;2017;2017;8;3
BA;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;853.517;Estadual;Formulário 5;2017;2017;8;3
CE;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;31.87;Estadual;Formulário 5;2017;2017;8;3
CE;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;1003.3;Estadual;Formulário 5;2017;2017;8;3
DF;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;18;Estadual;Formulário 5;2017;2017;8;3
DF;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;174;Estadual;Formulário 5;2017;2017;8;3
ES;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;;Estadual;Formulário 5;2017;2017;8;3
ES;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;;Estadual;Formulário 5;2017;2017;8;3
GO;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;160.516;Estadual;Formulário 5;2017;2017;8;3
GO;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;3179.69;Estadual;Formulário 5;2017;2017;8;3
MA;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;0.252;Estadual;Formulário 5;2017;2017;8;3
MA;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;194.34;Estadual;Formulário 5;2017;2017;8;3
MG;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;;Estadual;Formulário 5;2017;2017;8;3
MG;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;;Estadual;Formulário 5;2017;2017;8;3
MS;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;18.749;Estadual;Formulário 5;2017;2017;8;3
MS;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;47944.365;Estadual;Formulário 5;2017;2017;8;3
MT;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;401.37;Estadual;Formulário 5;2017;2017;8;3
MT;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;592.19;Estadual;Formulário 5;2017;2017;8;3
PA;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;13.071;Estadual;Formulário 5;2017;2017;8;3
PA;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;20.412;Estadual;Formulário 5;2017;2017;8;3
PB;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;9.62;Estadual;Formulário 5;2017;2017;8;3
PB;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;107.39;Estadual;Formulário 5;2017;2017;8;3
PE;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;0;Estadual;Formulário 5;2017;2017;8;3
PE;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;0;Estadual;Formulário 5;2017;2017;8;3
PI;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;176.742;Estadual;Formulário 5;2017;2017;8;3
PI;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;421.484;Estadual;Formulário 5;2017;2017;8;3
PR;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;147.8;Estadual;Formulário 5;2017;2017;8;3
PR;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;19468.062;Estadual;Formulário 5;2017;2017;8;3
RJ;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;;Estadual;Formulário 5;2017;2017;8;3
RJ;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;;Estadual;Formulário 5;2017;2017;8;3
RN;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;2.21;Estadual;Formulário 5;2017;2017;8;3
RN;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;9.55;Estadual;Formulário 5;2017;2017;8;3
RO;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;;Estadual;Formulário 5;2017;2017;8;3
RO;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;;Estadual;Formulário 5;2017;2017;8;3
RR;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;0.741;Estadual;Formulário 5;2017;2017;8;3
RR;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;0.745;Estadual;Formulário 5;2017;2017;8;3
RS;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;73.57;Estadual;Formulário 5;2017;2017;8;3
RS;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;889.879;Estadual;Formulário 5;2017;2017;8;3
SC;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;20.35;Estadual;Formulário 5;2017;2017;8;3
SC;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;2125.28;Estadual;Formulário 5;2017;2017;8;3
SE;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;5.365;Estadual;Formulário 5;2017;2017;8;3
SE;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;111.74;Estadual;Formulário 5;2017;2017;8;3
SP;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;1881.791;Estadual;Formulário 5;2017;2017;8;3
SP;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;26264.42;Estadual;Formulário 5;2017;2017;8;3
TO;NÃO INFORMADO;Apreensão de Cocaína;01/08/2017;;;Estadual;Formulário 5;2017;2017;8;3
TO;NÃO INFORMADO;Apreensão de Maconha;01/08/2017;;;Estadual;Formulário 5;2017;2017;8;3
AC;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;;Estadual;Formulário 5;2017;2017;9;3
AC;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;;Estadual;Formulário 5;2017;2017;9;3
AL;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;27.74;Estadual;Formulário 5;2017;2017;9;3
AL;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;22957.66;Estadual;Formulário 5;2017;2017;9;3
AM;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;168.19;Estadual;Formulário 5;2017;2017;9;3
AM;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;305.07;Estadual;Formulário 5;2017;2017;9;3
AP;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;1.027;Estadual;Formulário 5;2017;2017;9;3
AP;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;1.96;Estadual;Formulário 5;2017;2017;9;3
BA;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;148.871;Estadual;Formulário 5;2017;2017;9;3
BA;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;1254.767;Estadual;Formulário 5;2017;2017;9;3
CE;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;35.85;Estadual;Formulário 5;2017;2017;9;3
CE;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;448.03;Estadual;Formulário 5;2017;2017;9;3
DF;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;6;Estadual;Formulário 5;2017;2017;9;3
DF;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;998;Estadual;Formulário 5;2017;2017;9;3
ES;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;;Estadual;Formulário 5;2017;2017;9;3
ES;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;;Estadual;Formulário 5;2017;2017;9;3
GO;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;277.655;Estadual;Formulário 5;2017;2017;9;3
GO;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;8524.254;Estadual;Formulário 5;2017;2017;9;3
MA;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;2.545;Estadual;Formulário 5;2017;2017;9;3
MA;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;3283.032;Estadual;Formulário 5;2017;2017;9;3
MG;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;;Estadual;Formulário 5;2017;2017;9;3
MG;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;;Estadual;Formulário 5;2017;2017;9;3
MS;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;585.401;Estadual;Formulário 5;2017;2017;9;3
MS;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;29632.9;Estadual;Formulário 5;2017;2017;9;3
MT;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;272.38;Estadual;Formulário 5;2017;2017;9;3
MT;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;516.38;Estadual;Formulário 5;2017;2017;9;3
PA;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;18.164;Estadual;Formulário 5;2017;2017;9;3
PA;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;82.674;Estadual;Formulário 5;2017;2017;9;3
PB;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;17.7;Estadual;Formulário 5;2017;2017;9;3
PB;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;392.87;Estadual;Formulário 5;2017;2017;9;3
PE;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;0;Estadual;Formulário 5;2017;2017;9;3
PE;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;0;Estadual;Formulário 5;2017;2017;9;3
PI;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;1007.43;Estadual;Formulário 5;2017;2017;9;3
PI;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;1008.94;Estadual;Formulário 5;2017;2017;9;3
PR;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;293.215;Estadual;Formulário 5;2017;2017;9;3
PR;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;8134.793;Estadual;Formulário 5;2017;2017;9;3
RJ;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;;Estadual;Formulário 5;2017;2017;9;3
RJ;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;;Estadual;Formulário 5;2017;2017;9;3
RN;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;2.155;Estadual;Formulário 5;2017;2017;9;3
RN;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;8.206;Estadual;Formulário 5;2017;2017;9;3
RO;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;;Estadual;Formulário 5;2017;2017;9;3
RO;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;;Estadual;Formulário 5;2017;2017;9;3
RR;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;3.286;Estadual;Formulário 5;2017;2017;9;3
RR;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;3.802;Estadual;Formulário 5;2017;2017;9;3
RS;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;103.052;Estadual;Formulário 5;2017;2017;9;3
RS;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;2348.41;Estadual;Formulário 5;2017;2017;9;3
SC;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;41.44;Estadual;Formulário 5;2017;2017;9;3
SC;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;203.58;Estadual;Formulário 5;2017;2017;9;3
SE;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;4.908;Estadual;Formulário 5;2017;2017;9;3
SE;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;105.097;Estadual;Formulário 5;2017;2017;9;3
SP;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;2139.631;Estadual;Formulário 5;2017;2017;9;3
SP;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;18833.616;Estadual;Formulário 5;2017;2017;9;3
TO;NÃO INFORMADO;Apreensão de Cocaína;01/09/2017;;;Estadual;Formulário 5;2017;2017;9;3
TO;NÃO INFORMADO;Apreensão de Maconha;01/09/2017;;;Estadual;Formulário 5;2017;2017;9;3
AC;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;;Estadual;Formulário 5;2017;2017;10;4
AC;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;;Estadual;Formulário 5;2017;2017;10;4
AL;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;69.31;Estadual;Formulário 5;2017;2017;10;4
AL;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;4724.02;Estadual;Formulário 5;2017;2017;10;4
AM;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;970.05;Estadual;Formulário 5;2017;2017;10;4
AM;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;1124.86;Estadual;Formulário 5;2017;2017;10;4
AP;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;4.361;Estadual;Formulário 5;2017;2017;10;4
AP;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;2.784;Estadual;Formulário 5;2017;2017;10;4
BA;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;24.85;Estadual;Formulário 5;2017;2017;10;4
BA;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;1734.733;Estadual;Formulário 5;2017;2017;10;4
CE;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;40.87;Estadual;Formulário 5;2017;2017;10;4
CE;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;809.45;Estadual;Formulário 5;2017;2017;10;4
DF;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;7;Estadual;Formulário 5;2017;2017;10;4
DF;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;277;Estadual;Formulário 5;2017;2017;10;4
ES;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;;Estadual;Formulário 5;2017;2017;10;4
ES;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;;Estadual;Formulário 5;2017;2017;10;4
GO;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;442.084;Estadual;Formulário 5;2017;2017;10;4
GO;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;14981.221;Estadual;Formulário 5;2017;2017;10;4
MA;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;0.312;Estadual;Formulário 5;2017;2017;10;4
MA;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;458.721;Estadual;Formulário 5;2017;2017;10;4
MG;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;;Estadual;Formulário 5;2017;2017;10;4
MG;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;;Estadual;Formulário 5;2017;2017;10;4
MS;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;901.16;Estadual;Formulário 5;2017;2017;10;4
MS;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;23998.793;Estadual;Formulário 5;2017;2017;10;4
MT;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;582.96;Estadual;Formulário 5;2017;2017;10;4
MT;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;369.9;Estadual;Formulário 5;2017;2017;10;4
PA;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;419.703;Estadual;Formulário 5;2017;2017;10;4
PA;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;224.942;Estadual;Formulário 5;2017;2017;10;4
PB;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;9.85;Estadual;Formulário 5;2017;2017;10;4
PB;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;190.7;Estadual;Formulário 5;2017;2017;10;4
PE;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;0;Estadual;Formulário 5;2017;2017;10;4
PE;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;0;Estadual;Formulário 5;2017;2017;10;4
PI;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;8.491;Estadual;Formulário 5;2017;2017;10;4
PI;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;22.927;Estadual;Formulário 5;2017;2017;10;4
PR;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;164.686;Estadual;Formulário 5;2017;2017;10;4
PR;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;6662.401;Estadual;Formulário 5;2017;2017;10;4
RJ;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;;Estadual;Formulário 5;2017;2017;10;4
RJ;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;;Estadual;Formulário 5;2017;2017;10;4
RN;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;4.65;Estadual;Formulário 5;2017;2017;10;4
RN;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;45.792;Estadual;Formulário 5;2017;2017;10;4
RO;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;;Estadual;Formulário 5;2017;2017;10;4
RO;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;;Estadual;Formulário 5;2017;2017;10;4
RR;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;0.649;Estadual;Formulário 5;2017;2017;10;4
RR;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;0.318;Estadual;Formulário 5;2017;2017;10;4
RS;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;139.508;Estadual;Formulário 5;2017;2017;10;4
RS;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;1225.899;Estadual;Formulário 5;2017;2017;10;4
SC;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;11.15;Estadual;Formulário 5;2017;2017;10;4
SC;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;564.93;Estadual;Formulário 5;2017;2017;10;4
SE;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;5.581;Estadual;Formulário 5;2017;2017;10;4
SE;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;1115.936;Estadual;Formulário 5;2017;2017;10;4
SP;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;1251.428;Estadual;Formulário 5;2017;2017;10;4
SP;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;29965.202;Estadual;Formulário 5;2017;2017;10;4
TO;NÃO INFORMADO;Apreensão de Cocaína;01/10/2017;;;Estadual;Formulário 5;2017;2017;10;4
TO;NÃO INFORMADO;Apreensão de Maconha;01/10/2017;;;Estadual;Formulário 5;2017;2017;10;4
AC;NÃO INFORMADO;Apreensão de Cocaína;01/11/2017;;;Estadual;Formulário 5;2017;2017;11;4
AC;NÃO INFORMADO;Apreensão de Maconha;01/11/2017;;;Estadual;Formulário 5;2017;2017;11;4
AL;NÃO INFORMADO;Apreensão de Cocaína;01/11/2017;;77.59;Estadual;Formulário 5;2017;2017;11;4
